Serial_number:;;;;;
2059759;;;;;
Project ID:;;;;;
;;;;;
Location:;;;;;
Frioul2021;;;;;
LEVEL;;;;;
UNIT: bar;;;;;
TEMPERATURE;;;;;
UNIT: °C;;;;;
Date;Time;ms;LEVEL;TEMPERATURE;Flag
16/03/2021;10:22:59;0;1,02027;15,51;1
16/03/2021;10:23:59;0;1,02015;15,15;1
16/03/2021;10:24:59;0;1,01982;14,99;2
16/03/2021;10:25:59;0;1,02027;14,63;2
16/03/2021;10:26:59;0;1,02031;14,3;2
16/03/2021;10:27:59;0;1,02027;13,99;2
16/03/2021;10:28:59;0;1,02024;13,66;2
16/03/2021;10:29:59;0;1,02023;13,34;2
16/03/2021;10:30:59;0;1,02039;12,9;2
16/03/2021;10:31:59;0;1,02021;12,45;2
16/03/2021;10:32:59;0;1,0204;12,22;2
16/03/2021;10:33:59;0;1,02018;12,05;2
16/03/2021;10:34:59;0;1,02016;11,93;2
16/03/2021;10:35:59;0;1,02016;11,83;2
16/03/2021;10:36:59;0;1,02023;11,79;2
16/03/2021;10:37:59;0;1,02013;11,69;2
16/03/2021;10:38:59;0;1,02013;11,58;2
16/03/2021;10:39:59;0;1,01999;11,51;2
16/03/2021;10:40:59;0;1,0199;11,43;2
16/03/2021;10:41:59;0;1,02;11,36;2
16/03/2021;10:42:59;0;1,01982;11,3;2
16/03/2021;10:43:59;0;1,02002;11,22;2
16/03/2021;10:44:59;0;1,02012;11,15;2
16/03/2021;10:45:59;0;1,01998;11,1;2
16/03/2021;10:46:59;0;1,01982;11,11;2
16/03/2021;10:47:59;0;1,01968;11,12;2
16/03/2021;10:48:59;0;1,01973;11,13;2
16/03/2021;10:49:59;0;1,0198;11,12;2
16/03/2021;10:50:59;0;1,01982;11,12;2
16/03/2021;10:51:59;0;1,01995;11,09;2
16/03/2021;10:52:59;0;1,01979;11,09;2
16/03/2021;10:53:59;0;1,01974;11,09;2
16/03/2021;10:54:59;0;1,01988;11,09;2
16/03/2021;10:55:59;0;1,01993;11,07;2
16/03/2021;10:56:59;0;1,01982;11,1;2
16/03/2021;10:57:59;0;1,01986;11,15;2
16/03/2021;10:58:59;0;1,01996;11,17;2
16/03/2021;10:59:59;0;1,01962;11,18;2
16/03/2021;11:00:59;0;1,01991;11,16;2
16/03/2021;11:01:59;0;1,02001;11,15;2
16/03/2021;11:02:59;0;1,01979;11,17;2
16/03/2021;11:03:59;0;1,02002;11,19;2
16/03/2021;11:04:59;0;1,01982;11,19;2
16/03/2021;11:05:59;0;1,01981;11,21;2
16/03/2021;11:06:59;0;1,01992;11,2;2
16/03/2021;11:07:59;0;1,01987;11,23;2
16/03/2021;11:08:59;0;1,01983;11,23;2
16/03/2021;11:09:59;0;1,01973;11,2;2
