Serial_number:;;;;;
05/06/7539;;;;;
Project ID:;;;;;
;;;;;
Location:;;;;;
Frioul2021;;;;;
LEVEL;;;;;
UNIT: bar;;;;;
TEMPERATURE;;;;;
UNIT: °C;;;;;
Date;Time;ms;LEVEL;TEMPERATURE;Flag
17/03/2021;10:25:28;0;1,02;16,94;5
17/03/2021;10:35:28;0;1,02;15,6;5
17/03/2021;10:45:28;0;1,02;15,57;5
17/03/2021;10:55:28;0;1,02;15,83;5
17/03/2021;11:05:28;0;1,02;16,47;5
17/03/2021;11:15:28;0;1,02;16,63;5
17/03/2021;11:25:28;0;1,02;17,38;5
17/03/2021;11:35:28;0;1,02;16,97;5
17/03/2021;11:45:28;0;1,02;17,84;5
17/03/2021;11:55:28;0;1,02;16,66;5
17/03/2021;12:05:28;0;1,02;17,53;5
17/03/2021;12:15:28;0;1,02;16,28;5
17/03/2021;12:25:28;0;1,02;16,9;2
17/03/2021;12:35:28;0;1,02;17,39;2
17/03/2021;12:45:28;0;1,01;17,15;2
17/03/2021;12:55:28;0;1,02;15,66;2
17/03/2021;13:05:28;0;1,01;14,29;2
17/03/2021;13:15:28;0;1,01;13,73;2
17/03/2021;13:25:28;0;1,02;17,43;2
17/03/2021;13:35:28;0;1,02;17,39;2
17/03/2021;13:45:28;0;1,02;18,22;2
17/03/2021;13:55:28;0;1,01;17,78;2
17/03/2021;14:05:28;0;1,01;17,09;2
17/03/2021;14:15:28;0;1,01;17,76;2
17/03/2021;14:25:28;0;1,01;18,17;2
17/03/2021;14:35:28;0;1,01;17,46;2
17/03/2021;14:45:28;0;1,01;17,43;2
17/03/2021;14:55:28;0;1,01;17,98;2
17/03/2021;15:05:28;0;1,01;17,91;2
17/03/2021;15:15:28;0;1,01;17,29;2
17/03/2021;15:25:28;0;1,01;17,22;2
17/03/2021;15:35:28;0;1,01;17,15;2
17/03/2021;15:45:28;0;1,01;17,67;2
17/03/2021;15:55:28;0;1,01;16,5;2
17/03/2021;16:05:28;0;1,01;16,48;2
17/03/2021;16:15:28;0;1,01;16,45;2
17/03/2021;16:25:28;0;1,01;14,86;2
17/03/2021;16:35:28;0;1,01;16,59;2
17/03/2021;16:45:28;0;1,01;13,48;2
17/03/2021;16:55:28;0;1,01;12,6;2
17/03/2021;17:05:28;0;1,01;13,07;2
17/03/2021;17:15:28;0;1,01;12,08;2
17/03/2021;17:25:28;0;1,01;12,08;2
17/03/2021;17:35:28;0;1,01;11,88;2
17/03/2021;17:45:28;0;1,01;11,6;2
17/03/2021;17:55:28;0;1,01;11,44;2
17/03/2021;18:05:28;0;1,01;11,25;2
17/03/2021;18:15:28;0;1,01;11;2
17/03/2021;18:25:28;0;1,01;10,78;2
17/03/2021;18:35:28;0;1,01;10,67;2
17/03/2021;18:45:28;0;1,01;10,53;2
17/03/2021;18:55:28;0;1,01;10,31;2
17/03/2021;19:05:28;0;1,01;10,09;2
17/03/2021;19:15:28;0;1,01;9,95;2
17/03/2021;19:25:28;0;1,01;9,75;2
17/03/2021;19:35:28;0;1,02;9,62;2
17/03/2021;19:45:28;0;1,01;9,51;2
17/03/2021;19:55:28;0;1,01;9,43;2
17/03/2021;20:05:28;0;1,02;9,36;2
17/03/2021;20:15:28;0;1,02;9,36;2
17/03/2021;20:25:28;0;1,02;9,32;2
17/03/2021;20:35:28;0;1,02;9,25;2
17/03/2021;20:45:28;0;1,02;9,19;2
17/03/2021;20:55:28;0;1,02;9,16;2
17/03/2021;21:05:28;0;1,02;9,06;2
17/03/2021;21:15:28;0;1,02;9,08;2
17/03/2021;21:25:28;0;1,02;9,08;2
17/03/2021;21:35:28;0;1,02;8,98;2
17/03/2021;21:45:28;0;1,02;8,87;2
17/03/2021;21:55:28;0;1,02;8,81;2
17/03/2021;22:05:28;0;1,02;8,76;2
17/03/2021;22:15:28;0;1,02;8,73;2
17/03/2021;22:25:28;0;1,02;8,63;2
17/03/2021;22:35:28;0;1,02;8,6;2
17/03/2021;22:45:28;0;1,02;8,56;2
17/03/2021;22:55:28;0;1,02;8,51;2
17/03/2021;23:05:28;0;1,02;8,39;2
17/03/2021;23:15:28;0;1,02;8,34;2
17/03/2021;23:25:28;0;1,02;8,22;2
17/03/2021;23:35:28;0;1,02;8,18;2
17/03/2021;23:45:28;0;1,02;8,13;2
17/03/2021;23:55:28;0;1,02;8,06;2
18/03/2021;00:05:28;0;1,02;8;2
18/03/2021;00:15:28;0;1,02;8,01;2
18/03/2021;00:25:28;0;1,02;8,02;2
18/03/2021;00:35:28;0;1,02;7,96;2
18/03/2021;00:45:28;0;1,02;7,88;2
18/03/2021;00:55:28;0;1,02;7,71;2
18/03/2021;01:05:28;0;1,02;7,69;2
